Atlanta,Accenture Atlanta
Atlanta,AT&T Atlanta: Ada Lovelace
Atlanta,AT&T Atlanta: Grace Hopper
Atlanta,GE Atlanta
Austin,AT&T Austin
Austin,Barlovento Foundation @ Austin Community College
Austin,The Barlovento Foundation @ Texas State University at Round Rock
Austin,IBM Austin
Austin,Indeed Austin
Boston,Akamai Boston
Boston,Microsoft Boston
Boston,TripAdvisor Boston
Boston,Twitter Boston
Boston,Verizon Boston
Chicago,Accenture Chicago
Chicago,Girls Who Code @  the University of Illinois at Chicago: Ada Lovelace
Chicago,Girls Who Code @ University of Illinois at Chicago: Grace Hopper
Chicago,Microsoft Chicago
Chicago,Synchrony Financial Chicago
Chicago,Verizon Chicago
Los Angeles,AT&T Los Angeles
Los Angeles,Disney Los Angeles
Los Angeles,IBM Los Angeles
Los Angeles,Cheryl Saban Self-Worth Foundation for Women & Girls at USC Marshall School of Business: Ada Lovelace
Los Angeles,Cheryl Saban Self-Worth Foundation for Women & Girls at USC Marshall School of Business: Grace Hopper
Miami,Knight Foundation at MDC Miami: Ada Lovelace
Miami,Knight Foundation Miami @ FIU
Miami,Knight Foundation at MDC Miami: Grace Hopper
New York City,Accenture New York City
New York City,Adobe New York City
New York City,AIG New York City: Ada Lovelace
New York City,AIG New York City: Grace Hopper
New York City,The AOL Charitable Foundation at the CUNY Advanced Science Research Center
New York City,AppNexus New York City
New York City,AT&T New York City
New York City,BlackRock New York City
New York City,Goldman Sachs New York City: Ada Lovelace
New York City,Goldman Sachs New York City: Grace Hopper
New York City,IAC New York City
New York City,IBM New York City
New York City,JPMorgan Chase New York City
New York City,Kate Spade & Company @ the Fashion Institute of Technology
New York City,Moody's New York City
New York City,Microsoft New York City
New York City,Viacom New York City
Newark,Prudential Newark
Newark,Verizon Newark: Ada Lovelace
Newark,Verizon Newark: Grace Hopper
Seattle,Adobe Seattle
Seattle,Amazon Seattle
Seattle,AT&T Seattle
Seattle,Expedia Seattle
Seattle,Groupon Seattle
Seattle,Microsoft Seattle
SF Bay Area,Adobe San Francisco
SF Bay Area,Adobe San Jose: Ada Lovelace
SF Bay Area,Adobe San Jose: Grace Hopper
SF Bay Area,Amazon Bay Area
SF Bay Area,Autodesk San Francisco
SF Bay Area,Electronic Arts Bay Area
SF Bay Area,Facebook Bay Area
SF Bay Area,GE Bay Area
SF Bay Area,IBM San Jose
SF Bay Area,Intuit Bay Area
SF Bay Area,Moody's San Francisco
SF Bay Area,Microsoft Bay Area
SF Bay Area,Pivotal Bay Area
SF Bay Area,Pixar Bay Area
SF Bay Area,Sephora San Francisco
SF Bay Area,Square San Francisco
SF Bay Area,Twitter San Francisco
SF Bay Area,Workday Bay Area
Washington DC,AOL Washington, DC
Washington DC,AT&T Washington DC
Washington DC,BSA Washington DC
Washington DC,Capital One Washington DC
Washington DC,Lockheed Martin Washington DC: Ada Lovelace
Washington DC,Lockheed Martin Washington DC: Grace Hopper
